X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.019167,36.22181
15.810038,-5.002371,36.221813
15.810038,-5.002498,36.221813
16.28636,-5.0025005,36.698063
16.44168,-5.0025005,36.853382
17.31379,-5.0025005,37.725506
18.723904,-5.004862,39.135796
20.138042,-5.0030622,40.549866
20.84514,-5.002723,41.25693
20.84514,-5.002723,41.25693
20.872217,-5.0025353,43.237255
20.899557,-5.0025086,45.236935
20.926907,-5.0025024,47.236546
20.954313,-5.002501,49.236565
20.981539,-5.0025005,51.22912
21.008574,-5.0025005,53.207153
21.03563,-5.0025005,55.186775
21.053919,-5.0025005,56.524635
21.054487,-5.0025,56.56629
21.054487,-5.0025,56.56629
21.054487,-5.0025,56.56629
21.054487,-5.0025,56.56629
21.054487,-5.0025,56.56629
21.054487,-5.0025,56.56629
21.054487,-5.0025,56.56629
21.054487,-5.0025,56.56629
21.054487,-5.0079503,56.56629
21.054487,-5.0079503,56.56629
21.054487,-5.0047812,56.56629
21.054487,-5.0047812,56.56629
21.054487,-5.0047812,56.56629
21.054487,-5.0047812,56.56629
21.054487,-5.0047812,56.56629
21.064114,-5.0026,57.119278
21.063635,-4.450138,57.275597
21.044409,-3.3185241,56.479755
21.037622,-2.9167638,56.166115
21.032991,-2.6028156,55.950558
21.029959,-2.3606856,55.80828
21.028128,-2.1776717,55.72076
21.027208,-2.0422785,55.674152
21.02698,-1.9443821,55.658115
21.02792,-1.8680145,55.689148
21.029442,-1.8323125,55.74509
21.031065,-1.8116208,55.805676
21.032768,-1.8026584,55.869728
21.034527,-1.8028866,55.936375
21.036327,-1.8103431,56.00495
21.038158,-1.8235148,56.074978
21.03995,-1.8402513,56.143734
21.041643,-1.8588213,56.209023
21.043262,-1.8789421,56.27173
21.044823,-1.9003905,56.33251
21.046337,-1.9229916,56.39186
21.047813,-1.9466127,56.450146
21.049261,-1.9711555,56.507633
21.050682,-1.9965554,56.564533
21.05208,-2.0227776,56.62099
21.053457,-2.0498192,56.677116
21.054815,-2.0777152,56.733006
21.056152,-2.1064947,56.78871
21.047281,-2.138364,56.70282
21.035162,-2.0869372,56.53352
21.024088,-1.9690746,56.36603
21.025621,-1.9923656,56.396286
21.027096,-2.0128255,56.42313
21.02716,-2.0142596,56.42586
21.027176,-2.014559,56.42643
21.027184,-2.0147583,56.426807
21.027191,-2.01491,56.427097
21.027195,-2.015013,56.42729
21.027199,-2.015104,56.427467
21.027203,-2.0151658,56.42758
21.045938,-2.170422,56.734028
21.052824,-2.1942601,56.846653
21.059841,-2.2032697,56.96142
21.059841,-2.2032697,56.961414
20.50681,-2.2129002,56.966038
19.716022,-2.226073,56.974537
19.365526,-2.2318428,56.97857
19.062304,-2.2368965,56.981922
18.828634,-2.2409143,56.984226
18.66753,-2.243769,56.985626
18.560266,-2.2456696,56.986553
18.478483,-2.2471192,56.98726
18.416126,-2.2482243,56.987797
18.368584,-2.2490666,56.988205
18.222715,-2.2181804,56.77165
18.120707,-2.2198343,56.804134
18.121208,-2.2272546,56.827694
18.113476,-2.2273912,56.82776
18.111225,-2.2274308,56.827774
18.109728,-2.2274573,56.827785
18.108587,-2.2274773,56.8278
18.107716,-2.2274923,56.82781
18.107126,-2.2275026,56.82781
18.106602,-2.2275114,56.827805
18.163328,-2.2469616,56.925873
18.22132,-2.2515059,57.025215
18.22132,-2.2515059,57.025215
17.679546,-2.254445,57.018528
