X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.819836,-5.0025005,36.827587
15.843042,-5.0025005,38.288967
15.87486,-5.0025,40.295303
15.906255,-5.0025005,42.27498
15.937653,-5.0025005,44.254875
15.969045,-5.0025005,46.234344
16.000437,-5.0025005,48.21394
16.031836,-5.0025005,50.193836
16.053091,-5.0025005,51.534122
16.053751,-5.0025005,51.57578
16.053751,-5.0025005,51.57578
16.053751,-5.0025005,51.57578
16.053751,-5.0025005,51.57578
16.053751,-5.0025005,51.57578
16.053751,-5.0025005,51.57578
16.053751,-5.0025005,51.57578
16.053751,-5.0025005,51.57578
16.053751,-5.0079503,51.57578
16.053751,-5.0079503,51.57578
16.053751,-5.004781,51.57578
16.053751,-5.004781,51.57578
16.053751,-5.004781,51.57578
16.053751,-5.004781,51.57578
16.053751,-5.004781,51.57578
16.063387,-5.0026054,52.128918
16.064955,-4.45029,52.285473
16.048788,-3.3192403,51.48948
16.042091,-2.8811991,51.14579
16.038055,-2.5774624,50.93818
16.035412,-2.343514,50.80184
16.033813,-2.166971,50.718758
16.032999,-2.036583,50.675465
16.032738,-1.9335729,50.659805
16.03297,-1.8701328,50.669025
16.033537,-1.8280617,50.694702
16.034351,-1.8025256,50.732677
16.035357,-1.7897822,50.77984
16.036503,-1.7869447,50.833866
16.037756,-1.7917956,50.893024
16.039087,-1.8026334,50.956017
16.04048,-1.8181554,51.02187
16.042032,-1.8388075,51.09533
16.043419,-1.8596052,51.161106
16.04475,-1.8810807,51.224182
16.046036,-1.9031876,51.285244
16.047287,-1.9258851,51.344803
16.048512,-1.9491419,51.403244
16.049715,-1.9729365,51.460854
16.050903,-1.9972574,51.517845
16.052078,-2.022106,51.57438
16.053337,-2.0495477,51.63515
16.054228,-2.0693164,51.67825
16.04851,-2.078465,51.545246
16.041721,-2.0132658,51.366817
16.035494,-1.8859922,51.195892
16.035566,-1.887601,51.199398
16.035616,-1.8886715,51.201733
16.035652,-1.8894883,51.203514
16.03568,-1.8901106,51.204872
16.035702,-1.8905851,51.205906
16.035717,-1.890947,51.206696
16.04597,-2.0739522,51.499336
16.05788,-2.132125,51.838894
16.057882,-2.1322062,51.839073
16.057922,-2.1275675,51.8323
16.058022,-2.1143463,51.812904
16.058165,-2.0946915,51.784107
16.058336,-2.070135,51.74831
16.05853,-2.04175,51.707294
16.058691,-2.01798,51.673126
16.0601,-1.4286295,51.030827
16.059042,-0.1591515,50.80401
16.058676,0.30156332,50.94031
16.058498,0.6179734,51.04726
16.058424,0.88174534,51.148914
16.050377,1.2755634,51.077816
16.043545,1.5016443,50.949303
16.03687,1.7090145,50.792355
16.036123,1.7579641,50.78368
16.0354,1.7941998,50.76994
16.0354,1.7985399,50.77179
16.0354,1.8011103,50.772884
16.0354,1.8031375,50.77375
16.0354,1.8053135,50.774677
16.0354,1.8065938,50.775223
16.0354,1.8075708,50.77564
16.045372,1.6153463,51.06042
16.057178,1.5450289,51.39716
16.057178,1.5452411,51.397247
16.057178,1.5454696,51.397343
16.33909,1.3461679,51.702164
16.502266,1.2310752,51.87971
16.634756,1.1372799,52.023876
16.742712,1.0602778,52.1412
16.83252,0.99533635,52.238518
16.897093,0.9481772,52.30833
16.995518,0.876294,52.414745
17.036644,0.84625757,52.459213
17.251406,0.68918884,52.495583
17.419716,0.5658101,52.508366
17.563793,0.45939672,52.517017
17.69828,0.35890234,52.522724
17.801168,0.28055227,52.524677
17.891434,0.2099532,52.523582
17.972075,0.1445784,52.519104
18.032269,0.0946917,52.514076
18.560627,-0.3588062,52.88423
19.522755,-1.1895707,53.751736
19.832989,-1.4595189,54.04408
20.095509,-1.6932311,54.29637
20.270222,-1.8603644,54.47544
20.391485,-1.9977448,54.61512
20.717253,-2.333739,54.777782
21.06239,-2.6583385,54.86526
21.19958,-2.787366,54.900032
21.63437,-3.1955333,54.801533
21.855959,-3.4053435,54.715347
22.032513,-3.5765991,54.639675
22.168955,-3.7173243,54.57068
22.531258,-3.9198132,54.471344
23.638355,-4.1335416,54.405834
25.148388,-4.2506366,54.43102
26.875162,-4.307819,54.508232
27.38481,-4.3172755,54.534664
27.781181,-4.323159,54.554058
28.082176,-4.326803,54.567978
28.355812,-4.3235664,54.5583
28.462778,-4.3035083,54.54517
28.533442,-4.2985735,54.56294
28.495438,-4.259463,54.54844
28.34346,-4.1399612,54.521618
28.204834,-3.9737213,54.500126
28.213148,-3.9738219,54.500515
28.214888,-3.9738429,54.500595
28.216045,-3.973857,54.50065
28.216831,-3.9738665,54.500687
28.21901,-3.9738927,54.50079
