X,Y,Z
15.810032,-5.0025005,36.22181
15.810032,-5.0025005,36.22181
15.810032,-5.019167,36.22181
15.810038,-5.002371,36.221813
15.810038,-5.002498,36.221813
16.258854,-5.0025005,36.670555
16.421602,-5.0025005,36.8333
17.377504,-5.0025005,37.789223
18.789263,-5.004476,39.20112
20.203623,-5.002947,40.615437
20.840012,-5.002687,41.2518
20.840012,-5.002687,41.2518
20.86773,-5.0025296,43.232117
20.89572,-5.002507,45.23188
20.923708,-5.002502,47.231518
20.951696,-5.0025005,49.23126
20.979536,-5.0025005,51.21858
21.007233,-5.0025005,53.19823
21.034893,-5.0025005,55.175117
21.053646,-5.0025005,56.515438
21.054228,-5.0025005,56.557095
21.054228,-5.0025005,56.557095
21.054228,-5.0025005,56.557095
21.054228,-5.0025005,56.557095
21.054228,-5.0025005,56.557095
21.054228,-5.0025005,56.557095
21.054228,-5.0025005,56.557095
21.054228,-5.0025005,56.557095
21.054228,-5.0079503,56.557095
21.054228,-5.0079503,56.557095
21.054228,-5.0047812,56.557095
21.054228,-5.0047812,56.557095
21.054228,-5.0047812,56.557095
21.054228,-5.0047812,56.557095
21.054228,-5.0047812,56.557095
21.064018,-5.0026,57.109974
21.063128,-4.4499044,57.266273
21.043922,-3.3175628,56.47063
21.03734,-2.9155374,56.157066
21.032866,-2.601488,55.94157
21.029945,-2.3593826,55.79934
21.028196,-2.1764507,55.711857
21.02733,-2.041147,55.665276
21.027138,-1.9433248,55.649254
21.028973,-1.8619552,55.712994
21.03131,-1.8360252,55.799736
21.033545,-1.8227568,55.88333
21.035702,-1.8195238,55.964573
21.037796,-1.8242881,56.04406
21.03984,-1.8354673,56.12223
21.041782,-1.8508277,56.19706
21.043583,-1.8685508,56.266865
21.04527,-1.8882926,56.33293
21.046871,-1.9097786,56.396214
21.048407,-1.9327946,56.45742
21.049885,-1.9571772,56.517086
21.051317,-1.9828079,56.575596
21.052711,-2.009612,56.633255
21.054073,-2.0375602,56.690273
21.055405,-2.0666707,56.746815
21.056705,-2.0969079,56.803
21.04776,-2.1314063,56.717834
21.035604,-2.0812042,56.548916
21.024513,-1.9638724,56.381634
21.026043,-1.9874026,56.41194
21.027514,-2.0079913,56.438797
21.027542,-2.0087023,56.440094
21.027563,-2.0091748,56.44096
21.027576,-2.0094943,56.441544
21.027588,-2.0097768,56.44206
21.027596,-2.0099676,56.442406
21.027603,-2.0101361,56.442715
21.046349,-2.1657963,56.74953
21.053238,-2.1897535,56.862255
21.060253,-2.198822,56.977
21.060253,-2.198822,56.976997
20.507252,-2.2093098,56.978386
19.716541,-2.2236583,56.982475
19.366085,-2.2299442,56.98458
19.088093,-2.2349954,56.986107
18.867006,-2.2391331,56.987045
18.6883,-2.2427022,56.987286
18.576012,-2.245062,56.987167
18.46577,-2.247379,56.98705
18.384518,-2.2490866,56.986965
18.330418,-2.2502234,56.986904
18.289171,-2.2510898,56.986855
18.15222,-2.2201543,56.769524
18.056498,-2.2218227,56.801617
18.060318,-2.2292426,56.824726
18.053608,-2.2293825,56.82472
18.050083,-2.2294548,56.824707
18.049059,-2.2294753,56.824703
18.048376,-2.2294886,56.8247
18.047915,-2.2294974,56.824696
18.047504,-2.2295053,56.82469
18.047192,-2.2295108,56.824688
18.04698,-2.2295146,56.824684
18.104168,-2.2490273,56.922733
18.162561,-2.253636,57.02207
18.162561,-2.253636,57.022068
17.620762,-2.2563183,57.015823
17.208948,-2.2582965,57.012917
